dataset,model,scope,metric,mean,median,lower_2_5,upper_97_5,p95,repetitions
refcocoplus,groundingdino,clean_eligible,sample_rmse,0.05239134425001274,0.052362916267144635,0.04921254921257382,0.05582897992978199,0.055266400280821616,2000
refcocoplus,groundingdino,clean_eligible,sample_spearman,0.9504040866723491,0.9504783283500962,0.9445222945678637,0.9559630887324889,0.9550217035592576,2000
refcocoplus,owlv2,full_manifest,absolute_model_mean_difference,0.001649075,0.0013749999999999995,7.499999999999963e-05,0.004675,0.004074999999999999,2000
refcocoplus,owlv2,full_manifest,sample_mae,0.04582585,0.045825000000000005,0.043325,0.048275,0.047924999999999995,2000
refcocoplus,owlv2,full_manifest,sample_rmse,0.06616788396250663,0.06614850716380528,0.06269419821887333,0.06968231482951753,0.06916104383601554,2000
refcocoplus,owlv2,full_manifest,sample_spearman,0.9557620755664209,0.9557286946882206,0.951224767287511,0.9603053858062206,0.9596477550919043,2000
refcocoplus,owlv2,clean_eligible,absolute_model_mean_difference,0.0017035898760330577,0.0014204545454545453,7.74793388429747e-05,0.004829545454545455,0.0042097107438016515,2000
refcocoplus,owlv2,clean_eligible,sample_mae,0.04734075413223141,0.04733987603305785,0.04475723140495868,0.04987086776859504,0.049509297520661154,2000
refcocoplus,owlv2,clean_eligible,sample_rmse,0.0672526756670377,0.06723298119472747,0.06372204046011228,0.07082472399470131,0.07029490700553344,2000
refcocoplus,owlv2,clean_eligible,sample_spearman,0.9511973311042795,0.9511606808393474,0.9461875336774976,0.9562092678971165,0.9554865023387524,2000
refcocoplus,yoloworld,full_manifest,absolute_model_mean_difference,0.0014324750000000001,0.0011999999999999986,4.999999999999971e-05,0.004149999999999998,0.0036500000000000013,2000
refcocoplus,yoloworld,full_manifest,sample_mae,0.035753175,0.03575,0.033549999999999996,0.03785,0.037599999999999995,2000
refcocoplus,yoloworld,full_manifest,sample_rmse,0.05762218106672045,0.057630287176102114,0.054325408420001775,0.06096105314050931,0.06040488390850528,2000
refcocoplus,yoloworld,full_manifest,sample_spearman,0.9859481186825158,0.9859339267778289,0.9844125833809101,0.9875830067727616,0.9873189056566428,2000
refcocoplus,yoloworld,clean_eligible,absolute_model_mean_difference,0.0018923051519154559,0.0015852047556142652,6.605019815059407e-05,0.005482166446499335,0.004821664464993396,2000
refcocoplus,yoloworld,clean_eligible,sample_mae,0.04723008586525759,0.04722589167767503,0.044319682959048874,0.049999999999999996,0.04966974900924702,2000
refcocoplus,yoloworld,clean_eligible,sample_rmse,0.06622801722361234,0.06623733397528343,0.06243887367529012,0.07006554772170794,0.06942631496802656,2000
refcocoplus,yoloworld,clean_eligible,sample_spearman,0.9680135534651172,0.967983418149956,0.9645105902022207,0.9717198824603582,0.9711208450351883,2000
refl4,groundingdino,full_manifest,absolute_model_mean_difference,0.0012588249999999999,0.0010250000000000012,7.499999999999884e-05,0.0035249999999999995,0.003175,2000
refl4,groundingdino,full_manifest,sample_mae,0.029084924999999998,0.029075000000000004,0.027175000000000005,0.030925,0.030574999999999998,2000
refl4,groundingdino,full_manifest,sample_rmse,0.050305726868504624,0.050292892141931944,0.04713610593641566,0.053589877775565044,0.05300353761778548,2000
refl4,groundingdino,full_manifest,sample_spearman,0.9401027691172065,0.9401645905713958,0.932850272686548,0.9468916287184085,0.9457985875824889,2000
refl4,groundingdino,clean_eligible,absolute_model_mean_difference,0.0012588249999999999,0.0010250000000000012,7.499999999999884e-05,0.0035249999999999995,0.003175,2000
refl4,groundingdino,clean_eligible,sample_mae,0.029084924999999998,0.029075000000000004,0.027175000000000005,0.030925,0.030574999999999998,2000
refl4,groundingdino,clean_eligible,sample_rmse,0.050305726868504624,0.050292892141931944,0.04713610593641566,0.053589877775565044,0.05300353761778548,2000
refl4,groundingdino,clean_eligible,sample_spearman,0.9401027691172065,0.9401645905713958,0.932850272686548,0.9468916287184085,0.9457985875824889,2000
refl4,owlv2,full_manifest,absolute_model_mean_difference,0.00160075,0.0013250000000000002,7.499999999999862e-05,0.004475,0.003975,2000
refl4,owlv2,full_manifest,sample_mae,0.044033625,0.043975,0.04172374999999999,0.04652625,0.046125,2000
