dataset,model,image_id,ref_id,clean_eligible,clean_correct,reference_successes,reference_trials,reference_mean,lower_95,upper_95,interval_width
refl4,yoloworld,1000073579,154,1,0,62,80,0.775,0.6679136799387491,0.8608627895010682,0.19294910956231914
refl4,yoloworld,451407,42382,1,1,74,80,0.925,0.8438720682639279,0.9719794538231588,0.12810738555923085
refl4,yoloworld,16725,32236,1,1,32,80,0.4,0.2920093562553105,0.5156230595045106,0.2236137032492001
refl4,yoloworld,1001647725,345,1,0,35,80,0.4375,0.3267639534337789,0.5530024286118197,0.2262384751780408
refl4,yoloworld,1001484001,12484,1,0,54,80,0.675,0.5610629543955516,0.7755404148225468,0.21447746042699511
refl4,yoloworld,182335,38677,1,0,21,80,0.2625,0.1704092511004083,0.3728508302124319,0.20244157911202362
refl4,yoloworld,47001,26144,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000456263,16313,1,0,46,80,0.575,0.45938881143093807,0.6848902345476577,0.22550142311671967
refl4,yoloworld,1001007090,13611,1,0,22,80,0.275,0.18103763855703875,0.38624342084440927,0.20520578228737052
refl4,yoloworld,1000491212,12458,1,0,59,80,0.7375,0.6271491697875681,0.8295907488995917,0.20244157911202365
refl4,yoloworld,433435,41430,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,247110,20539,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1000732858,8900,1,1,67,80,0.8375,0.7381631061748871,0.9105383582774708,0.17237525210258364
refl4,yoloworld,1001653514,15976,1,1,59,80,0.7375,0.6271491697875681,0.8295907488995917,0.20244157911202365
refl4,yoloworld,52902,32457,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,470004,39040,1,0,55,80,0.6875,0.5741109261435505,0.7865253688912328,0.21241444274768229
refl4,yoloworld,3320,40300,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000411412,15597,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001610034,13131,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,402833,27463,1,1,44,80,0.55,0.43467397909415284,0.6615136155101845,0.22683963641603166
refl4,yoloworld,1001377679,16072,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1000087545,3796,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,294409,32181,1,0,34,80,0.425,0.31510976545234215,0.5406111885690619,0.22550142311671972
refl4,yoloworld,452524,32675,1,0,47,80,0.5875,0.47184834042520446,0.6964754070624058,0.2246270666372014
refl4,yoloworld,268197,32315,1,1,68,80,0.85,0.7526358884071023,0.9200184386902862,0.16738255028318394
refl4,yoloworld,1001420442,11445,1,0,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refl4,yoloworld,510061,28342,1,0,28,80,0.35,0.24667193647253513,0.4647968854793358,0.21812494900680066
refl4,yoloworld,1000942935,4093,1,0,49,80,0.6125,0.4969755425018991,0.7194348668752178,0.22245932437331872
refl4,yoloworld,1001971667,15164,1,0,72,80,0.9,0.8124348925365683,0.955829059846371,0.1433941673098027
refl4,yoloworld,46885,23903,1,0,47,80,0.5875,0.47184834042520446,0.6964754070624058,0.2246270666372014
refl4,yoloworld,1002279022,3521,1,0,46,80,0.575,0.45938881143093807,0.6848902345476577,0.22550142311671967
refl4,yoloworld,443505,34242,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,237510,23816,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,365573,33989,1,0,51,80,0.6375,0.5223872787351916,0.7421051046283819,0.21971782589319022
refl4,yoloworld,1000093404,5432,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001066816,5826,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000432446,6525,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refl4,yoloworld,62233,28874,1,1,48,80,0.6,0.4843769404954894,0.7079906437446896,0.22361370324920016
refl4,yoloworld,164081,36760,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,211576,36091,1,1,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refl4,yoloworld,333748,40384,1,0,35,80,0.4375,0.3267639534337789,0.5530024286118197,0.2262384751780408
refl4,yoloworld,76885,17742,1,0,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refl4,yoloworld,1000544731,9047,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000726557,14171,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001201335,8548,1,1,59,80,0.7375,0.6271491697875681,0.8295907488995917,0.20244157911202365
refl4,yoloworld,536820,27198,1,0,71,80,0.8875,0.7971534080830098,0.9472484868543125,0.15009507877130268
refl4,yoloworld,1001762424,16320,1,0,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refl4,yoloworld,1000530094,11142,1,1,37,80,0.4625,0.3502764265383982,0.5775824719951649,0.2273060454567667
refl4,yoloworld,1000091358,16426,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1002269762,3247,1,0,21,80,0.2625,0.1704092511004083,0.3728508302124319,0.20244157911202362
refl4,yoloworld,1000129708,9883,1,0,67,80,0.8375,0.7381631061748871,0.9105383582774708,0.17237525210258364
refl4,yoloworld,1002093212,8728,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refl4,yoloworld,1001670201,1496,1,0,32,80,0.4,0.2920093562553105,0.5156230595045106,0.2236137032492001
refl4,yoloworld,111000,20509,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000035010,15336,1,1,58,80,0.725,0.6137565791555909,0.8189623614429612,0.2052057822873703
refl4,yoloworld,1000415317,1977,1,1,72,80,0.9,0.8124348925365683,0.955829059846371,0.1433941673098027
refl4,yoloworld,35265,39191,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,144817,18345,1,1,64,80,0.8,0.6956311329945355,0.8811409135950147,0.18550978060047918
refl4,yoloworld,1002015090,6709,1,0,54,80,0.675,0.5610629543955516,0.7755404148225468,0.21447746042699511
refl4,yoloworld,1000916834,10545,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,509039,31565,1,0,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refl4,yoloworld,409454,24174,1,1,15,80,0.1875,0.10891368814752944,0.2903278956476912,0.18141420750016174
refl4,yoloworld,1000092405,14858,1,0,68,80,0.85,0.7526358884071023,0.9200184386902862,0.16738255028318394
refl4,yoloworld,1001801759,12948,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,307190,40862,1,1,24,80,0.3,0.20257392914667274,0.412759323081376,0.21018539393470323
refl4,yoloworld,136894,31038,1,0,73,80,0.9125,0.8279916615801152,0.9640936410104413,0.1361019794303261
refl4,yoloworld,23014,39864,1,0,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refl4,yoloworld,275811,20352,1,1,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refl4,yoloworld,511930,26826,1,0,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refl4,yoloworld,59382,35118,1,0,76,80,0.95,0.876901263556847,0.9862106060235382,0.1093093424666911
refl4,yoloworld,193042,30121,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1001609601,6190,1,0,56,80,0.7,0.5872406769186242,0.7974260708533272,0.21018539393470292
refl4,yoloworld,236036,38008,1,0,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refl4,yoloworld,1001494111,14124,1,0,62,80,0.775,0.6679136799387491,0.8608627895010682,0.19294910956231914
refl4,yoloworld,34439,29768,1,1,20,80,0.25,0.1598796445068557,0.35936347590685,0.19948383139999432
refl4,yoloworld,1001951985,3173,1,0,16,80,0.2,0.11885908640498531,0.30436886700546445,0.18550978060047912
refl4,yoloworld,1000531838,6284,1,1,37,80,0.4625,0.3502764265383982,0.5775824719951649,0.2273060454567667
refl4,yoloworld,496097,41619,1,0,34,80,0.425,0.31510976545234215,0.5406111885690619,0.22550142311671972
refl4,yoloworld,1000721093,6328,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001197411,7934,1,1,53,80,0.6625,0.5480943856258318,0.7644738620163491,0.21637947639051736
refl4,yoloworld,178763,21784,1,0,78,80,0.975,0.9125928440694077,0.9969579138351904,0.08436506976578273
refl4,yoloworld,538805,42478,1,0,70,80,0.875,0.7821108659305637,0.9383979034415657,0.15628703751100204
refl4,yoloworld,281051,38656,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,408664,44025,1,1,30,80,0.375,0.2691931699468049,0.4903547644071125,0.2211615944603076
refl4,yoloworld,493471,40196,1,0,48,80,0.6,0.4843769404954894,0.7079906437446896,0.22361370324920016
refl4,yoloworld,517869,32692,1,1,54,80,0.675,0.5610629543955516,0.7755404148225468,0.21447746042699511
refl4,yoloworld,317537,22661,1,1,75,80,0.9375,0.860142924702361,0.9793969276979898,0.11925400299562883
refl4,yoloworld,289696,19370,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refl4,yoloworld,1000549900,441,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,325950,24571,1,1,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
