dataset,model,scope,repetition,half_probe_count,mean_left,mean_right,signed_model_mean_difference,absolute_model_mean_difference,sample_mae,sample_rmse,sample_spearman
refcoco,groundingdino,full_manifest,57,40,0.8568999999999999,0.85385,0.003050000000000001,0.003050000000000001,0.030350000000000002,0.05105144464165534,0.9510955255286228
refcoco,groundingdino,clean_eligible,57,40,0.8586172344689378,0.855561122244489,0.003056112224448899,0.003056112224448899,0.030410821643286574,0.05110257279131633,0.9507766726307021
refcoco,groundingdino,full_manifest,58,40,0.8573,0.85345,0.0038499999999999993,0.0038499999999999993,0.02985,0.050012498437890504,0.9451220533510654
refcoco,groundingdino,clean_eligible,58,40,0.8590180360721442,0.8551603206412826,0.0038577154308617224,0.0038577154308617224,0.029909819639278558,0.0500625860803265,0.9447628987793227
refcoco,groundingdino,full_manifest,59,40,0.85475,0.856,-0.0012500000000000011,0.0012500000000000011,0.028050000000000005,0.04670385423067352,0.9476623392770912
refcoco,groundingdino,clean_eligible,59,40,0.8564629258517034,0.8577154308617234,-0.0012525050100200411,0.0012525050100200411,0.028106212424849703,0.04675062825764987,0.947320601064084
refcoco,groundingdino,full_manifest,60,40,0.85535,0.8554,-5.0000000000000714e-05,5.0000000000000714e-05,0.03015,0.05158730463980455,0.9477006107183473
refcoco,groundingdino,clean_eligible,60,40,0.857064128256513,0.8571142284569139,-5.010020040080187e-05,5.010020040080187e-05,0.030210420841683364,0.05163896945459567,0.9473591452724025
refcoco,groundingdino,full_manifest,61,40,0.8548,0.8559499999999999,-0.0011500000000000008,0.0011500000000000008,0.02885,0.04930770730829005,0.9495839112441747
refcoco,groundingdino,clean_eligible,61,40,0.8565130260521041,0.8576653306613226,-0.0011523046092184377,0.0011523046092184377,0.028907815631262525,0.04935708910064469,0.9492548986255905
refcoco,groundingdino,full_manifest,62,40,0.85765,0.8530999999999999,0.004550000000000001,0.004550000000000001,0.030050000000000004,0.052117655357853544,0.9526718233117908
refcoco,groundingdino,clean_eligible,62,40,0.8593687374749499,0.8548096192384769,0.004559118236472946,0.004559118236472946,0.03011022044088177,0.052169851320216995,0.9523634823072064
refcoco,groundingdino,full_manifest,63,40,0.85445,0.8563000000000001,-0.0018500000000000012,0.0018500000000000012,0.02965,0.04895150661624217,0.943655228397352
refcoco,groundingdino,clean_eligible,63,40,0.8561623246492986,0.8580160320641284,-0.0018537074148296609,0.0018537074148296609,0.029709418837675354,0.04900053167271164,0.9432866872565125
refcoco,groundingdino,full_manifest,64,40,0.8535,0.85725,-0.0037500000000000007,0.0037500000000000007,0.028550000000000006,0.05114929129518805,0.9461992867068894
refcoco,groundingdino,clean_eligible,64,40,0.8552104208416834,0.8589679358717435,-0.003757515030060121,0.003757515030060121,0.02860721442885772,0.05120051743851759,0.9458477902637344
refcoco,groundingdino,full_manifest,65,40,0.8569,0.8538499999999999,0.0030499999999999998,0.0030499999999999998,0.030050000000000004,0.05055937104039171,0.9441964020521983
refcoco,groundingdino,clean_eligible,65,40,0.8586172344689379,0.8555611222444889,0.0030561122244488976,0.0030561122244488976,0.03011022044088177,0.05061000637710869,0.9438318149367755
refcoco,groundingdino,full_manifest,66,40,0.8551,0.85565,-0.0005499999999999985,0.0005499999999999985,0.030850000000000002,0.05316248677404021,0.9401226708760166
refcoco,groundingdino,clean_eligible,66,40,0.856813627254509,0.8573647294589178,-0.0005511022044088161,0.0005511022044088161,0.03091182364729459,0.05321572913768363,0.939730806578335
refcoco,groundingdino,full_manifest,67,40,0.85475,0.856,-0.0012499999999999994,0.0012499999999999994,0.02885,0.04961098668641857,0.9495952177735186
refcoco,groundingdino,clean_eligible,67,40,0.8564629258517034,0.8577154308617234,-0.0012525050100200394,0.0012525050100200394,0.028907815631262525,0.04966067221382993,0.9492661138778145
refcoco,groundingdino,full_manifest,68,40,0.8555499999999999,0.8552000000000001,0.00035000000000000065,0.00035000000000000065,0.029450000000000004,0.04976193324218825,0.9539806244219711
refcoco,groundingdino,clean_eligible,68,40,0.8572645290581162,0.8569138276553107,0.00035070140280561187,0.00035070140280561187,0.029509018036072147,0.049811769942953235,0.9536808146778019
refcoco,groundingdino,full_manifest,69,40,0.8567,0.85405,0.002649999999999999,0.002649999999999999,0.03115,0.05221350400040204,0.9451311763098316
refcoco,groundingdino,clean_eligible,69,40,0.8584168336673346,0.8557615230460921,0.002655310621242484,0.002655310621242484,0.0312124248496994,0.052265795955421045,0.9447728993292036
refcoco,groundingdino,full_manifest,70,40,0.8563500000000001,0.8543999999999999,0.0019500000000000008,0.0019500000000000008,0.028450000000000003,0.04864411577981452,0.9473954704237066
