model,diagnostic_budget,family,trials,operational_stability,risk_share,reference_operational_stability,reference_risk_share,absolute_stability_error,absolute_risk_share_error
yoloworld,10,jpeg,1562,0.6824583866837388,0.20146222583265636,0.685179257362356,0.20098089302135486,0.002720870678617149,0.0004813328113014992
yoloworld,10,gaussian_noise,1562,0.765685019206146,0.148659626320065,0.7714468629961587,0.14590783692653522,0.005761843790012766,0.002751789393529769
yoloworld,10,resolution,1562,0.5921895006402048,0.25873273761169785,0.5813060179257362,0.267293348319199,0.010883482714468595,0.008560610707501137
yoloworld,10,blur,1562,0.47823303457106275,0.3310316815597075,0.4894366197183099,0.32594257688770817,0.01120358514724712,0.005089104671999356
yoloworld,20,brightness,3124,0.9087708066581306,0.05887213385664118,0.9062099871959027,0.059875344845202794,0.002560819462227859,0.001003210988561612
yoloworld,20,jpeg,3124,0.6805377720870679,0.20615575294360666,0.685179257362356,0.20098089302135486,0.004641485275288071,0.005174859922251807
yoloworld,20,gaussian_noise,3124,0.7727272727272727,0.14666391241479032,0.7714468629961587,0.14590783692653522,0.001280409731113985,0.000756075488255098
yoloworld,20,resolution,3124,0.5969910371318822,0.2600702334228465,0.5813060179257362,0.267293348319199,0.015685019206145956,0.007223114896352467
yoloworld,20,blur,3124,0.4913572343149808,0.32823796736211525,0.4894366197183099,0.32594257688770817,0.001920614596670922,0.0022953904744070774
yoloworld,40,brightness,6248,0.9039692701664532,0.06188757091284169,0.9062099871959027,0.059875344845202794,0.0022407170294495016,0.0020122260676388934
yoloworld,40,jpeg,6248,0.6877400768245838,0.20123775141825684,0.685179257362356,0.20098089302135486,0.002560819462227859,0.0002568583969019822
yoloworld,40,gaussian_noise,6248,0.7725672215108835,0.1465703971119133,0.7714468629961587,0.14590783692653522,0.0011203585147248063,0.0006625601853780805
yoloworld,40,resolution,6248,0.592989756722151,0.26230015471892726,0.5813060179257362,0.267293348319199,0.011683738796414822,0.004993193600271728
yoloworld,40,blur,6248,0.4910371318822023,0.32800412583806077,0.4894366197183099,0.32594257688770817,0.0016005121638924535,0.0020615489503525986
owlv2,5,brightness,998,0.8807615230460922,0.10303030303030299,0.8872119238476954,0.09774762550881952,0.0064504008016031955,0.005282677521483467
owlv2,5,jpeg,998,0.7915831663326653,0.18008658008658007,0.78125,0.18957937584803258,0.010333166332665344,0.00949279576145251
owlv2,5,gaussian_noise,998,0.7865731462925851,0.18441558441558448,0.7982214428857716,0.1748710990502035,0.011648296593186447,0.009544485365380967
owlv2,5,resolution,998,0.7334669338677354,0.23030303030303034,0.7344063126252505,0.23017639077340574,0.0009393787575150414,0.0001266395296246059
owlv2,5,blur,998,0.6503006012024048,0.3021645021645021,0.6450400801603207,0.30762550881953865,0.0052605210420841875,0.005461006655036571
owlv2,10,brightness,1996,0.8862725450901804,0.09930008748906385,0.8872119238476954,0.09774762550881952,0.0009393787575150414,0.0015524619802443351
owlv2,10,jpeg,1996,0.7870741482965932,0.18591426071741038,0.78125,0.18957937584803258,0.005824148296593168,0.003665115130622204
owlv2,10,gaussian_noise,1996,0.7900801603206413,0.1832895888013998,0.7982214428857716,0.1748710990502035,0.008141282565130248,0.0084184897511963
owlv2,10,resolution,1996,0.7369739478957916,0.22965879265091863,0.7344063126252505,0.23017639077340574,0.0025676352705411576,0.0005175981224871118
owlv2,10,blur,1996,0.654308617234469,0.3018372703412074,0.6450400801603207,0.30762550881953865,0.00926853707414832,0.005788238478331265
owlv2,20,brightness,3992,0.8895290581162325,0.09660460021905803,0.8872119238476954,0.09774762550881952,0.00231713426853708,0.0011430252897614845
owlv2,20,jpeg,3992,0.7835671342685371,0.18926615553121579,0.78125,0.18957937584803258,0.00231713426853708,0.00031322031681679796
owlv2,20,gaussian_noise,3992,0.7958416833667334,0.1785323110624316,0.7982214428857716,0.1748710990502035,0.002379759519038127,0.0036612120122280767
owlv2,20,resolution,3992,0.7377254509018036,0.22935377875136914,0.7344063126252505,0.23017639077340574,0.0033191382765531685,0.0008226120220365951
owlv2,20,blur,3992,0.6497995991983968,0.30624315443592554,0.6450400801603207,0.30762550881953865,0.004759519038076143,0.0013823543836131158
owlv2,40,brightness,7984,0.8884018036072144,0.09692157076036113,0.8872119238476954,0.09774762550881952,0.001189879759519008,0.0008260547484583852
owlv2,40,jpeg,7984,0.7848196392785571,0.18688132274556726,0.78125,0.18957937584803258,0.003569639278557135,0.00269805310246532
owlv2,40,gaussian_noise,7984,0.7949649298597194,0.17807027085826171,0.7982214428857716,0.1748710990502035,0.0032565130260521213,0.0031991718080582043
owlv2,40,resolution,7984,0.7358466933867736,0.2294136843250299,0.7344063126252505,0.23017639077340574,0.0014403807615230857,0.0007627064483758383
owlv2,40,blur,7984,0.6445390781563126,0.3087131513107799,0.6450400801603207,0.30762550881953865,0.0005010020040080443,0.0010876424912412697
