dataset,model,sample_count,eligible_count,probe_budget,eligible_probe_trials,covered_probe_trials,stable_probe_trials,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,coverage_optimism,eligibility_optimism,total_optimism,predicted_coverage_optimism,predicted_eligibility_optimism,predicted_total_optimism,coverage_identity_residual,eligibility_identity_residual,total_identity_residual
refcocoplus,groundingdino,1000,1000,20,20000,18757,17056,1.0,0.93785,0.9093138561603668,0.8528,0.8528,0.05651385616036675,0.0,0.05651385616036675,0.056513856160366825,0.0,0.056513856160366825,7.632783294297951e-17,0.0,7.632783294297951e-17
refcocoplus,groundingdino,1000,1000,40,40000,37488,34082,1.0,0.9372,0.9091442594963721,0.85205,0.85205,0.057094259496372146,0.0,0.057094259496372146,0.05709425949637214,0.0,0.05709425949637214,6.938893903907228e-18,0.0,6.938893903907228e-18
refcocoplus,yoloworld,1000,757,5,3785,2877,2506,0.757,0.760105680317041,0.8710462287104623,0.6620871862615588,0.5012,0.2089590424489035,0.16088718626155885,0.36984622871046235,0.2089590424489035,0.1608871862615588,0.3698462287104623,0.0,5.551115123125783e-17,5.551115123125783e-17
refcocoplus,yoloworld,1000,757,10,7570,5746,5016,0.757,0.7590488771466314,0.8729550991994431,0.6626155878467636,0.5016,0.2103395113526796,0.1610155878467635,0.3713550991994431,0.21033951135267961,0.16101558784676354,0.3713550991994431,2.7755575615628914e-17,2.7755575615628914e-17,0.0
refcocoplus,yoloworld,1000,757,20,15140,11490,10045,0.757,0.7589167767503302,0.8742384682332462,0.6634742404227213,0.50225,0.21076422781052495,0.16122424042272132,0.37198846823324627,0.21076422781052506,0.16122424042272127,0.37198846823324627,1.1102230246251565e-16,5.551115123125783e-17,0.0
refcocoplus,yoloworld,1000,757,40,30280,23019,20110,0.757,0.7602047556142668,0.8736261349320127,0.6641347424042272,0.50275,0.20949139252778548,0.16138474240422718,0.37087613493201266,0.2094913925277855,0.1613847424042272,0.3708761349320127,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17
refl4,groundingdino,1000,1000,5,5000,4875,4327,1.0,0.975,0.8875897435897436,0.8654,0.8654,0.022189743589743682,0.0,0.022189743589743682,0.02218974358974361,0.0,0.02218974358974361,7.28583859910259e-17,0.0,7.28583859910259e-17
refl4,groundingdino,1000,1000,10,10000,9757,8700,1.0,0.9757,0.8916675207543302,0.87,0.87,0.021667520754330205,0.0,0.021667520754330205,0.021667520754330212,0.0,0.021667520754330212,6.938893903907228e-18,0.0,6.938893903907228e-18
refl4,groundingdino,1000,1000,20,20000,19533,17415,1.0,0.97665,0.8915681154968514,0.87075,0.87075,0.02081811549685142,0.0,0.02081811549685142,0.020818115496851464,0.0,0.020818115496851464,4.5102810375396984e-17,0.0,4.5102810375396984e-17
refl4,groundingdino,1000,1000,40,40000,39076,34794,1.0,0.9769,0.8904186713071962,0.86985,0.86985,0.020568671307196196,0.0,0.020568671307196196,0.02056867130719624,0.0,0.02056867130719624,4.5102810375396984e-17,0.0,4.5102810375396984e-17
refl4,yoloworld,1000,781,5,3905,3040,2676,0.781,0.7784891165172856,0.8802631578947369,0.6852752880921895,0.5352,0.19498786980254734,0.1500752880921895,0.34506315789473685,0.1949878698025473,0.15007528809218948,0.34506315789473674,5.551115123125783e-17,2.7755575615628914e-17,1.1102230246251565e-16
refl4,yoloworld,1000,781,10,7810,6065,5348,0.781,0.7765685019206146,0.8817807089859852,0.6847631241997439,0.5348,0.1970175847862412,0.1499631241997439,0.3469807089859851,0.1970175847862413,0.1499631241997439,0.3469807089859851,8.326672684688674e-17,0.0,0.0
refl4,yoloworld,1000,781,20,15620,12170,10779,0.781,0.7791293213828425,0.8857025472473296,0.6900768245838669,0.53895,0.19562572266346268,0.15112682458386684,0.3467525472473295,0.19562572266346268,0.1511268245838668,0.34675254724732946,0.0,2.7755575615628914e-17,5.551115123125783e-17
refl4,yoloworld,1000,781,40,31240,24349,21545,0.781,0.7794174135723432,0.8848412665817899,0.6896606914212549,0.538625,0.195180575160535,0.15103569142125484,0.34621626658178983,0.195180575160535,0.15103569142125478,0.3462162665817898,0.0,5.551115123125783e-17,5.551115123125783e-17
