dataset,model,diagnostic_budget,scope,predictor,bin_lower,bin_upper,sample_count,mean_prediction,mean_reference_operational,calibration_gap
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.7,0.8,34,0.7408141333201256,0.7018382352941177,0.03897589802600787
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.8,0.9,37,0.8453075506418325,0.8175675675675674,0.027739983074265062
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.9,1.0,371,0.9904063899510167,0.9292452830188679,0.06116110693214882
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.0,0.1,1,0.075,0.1,-0.02500000000000001
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.1,0.2,3,0.14166666666666666,0.22083333333333335,-0.07916666666666669
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.2,0.3,5,0.25,0.31,-0.06
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.3,0.4,10,0.335,0.36375,-0.028749999999999998
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.4,0.5,17,0.43823529411764706,0.4632352941176471,-0.025000000000000022
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.5,0.6,18,0.5361111111111111,0.5388888888888889,-0.002777777777777768
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.6,0.7,36,0.6381944444444444,0.6482638888888889,-0.010069444444444464
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.7,0.8,40,0.740625,0.7256250000000001,0.014999999999999902
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.8,0.9,66,0.8390151515151515,0.8325757575757576,0.006439393939393856
refcoco,groundingdino,40,paired_complete_cases,coverage_aware_operational,0.9,1.0,303,0.9839108910891089,0.9797029702970298,0.004207920792079101
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.0,0.1,8,0.0,0.20468750000000002,-0.20468750000000002
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.2,0.3,19,0.21578947368421056,0.42697368421052634,-0.21118421052631578
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.3,0.4,3,0.3333333333333333,0.3666666666666667,-0.03333333333333338
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.4,0.5,22,0.40000000000000013,0.5267045454545455,-0.12670454545454535
