dataset,model,family,sample_count,eligible_count,clean_eligibility,eligible_probe_trials,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,coverage_optimism,eligibility_optimism,total_optimism,total_identity_residual
refl4,groundingdino,jpeg,1000,1000,1.0,16000,0.9769375,0.8584863412449619,0.8386875,0.8386875,0.019798841244961896,0.0,0.019798841244961896,2.7755575615628914e-17
refl4,owlv2,blur,1000,998,0.998,15968,0.7913952905811623,0.8150668671361874,0.6450400801603207,0.64375,0.1700267869758667,0.001290080160320617,0.17131686713618732,2.7755575615628914e-17
refl4,owlv2,brightness,1000,998,0.998,15968,0.9655561122244489,0.9188610714748995,0.8872119238476954,0.8854375,0.031649147627204055,0.0017744238476954388,0.033423571474899494,8.326672684688674e-17
refl4,owlv2,gaussian_noise,1000,998,0.998,15968,0.9090681362725451,0.8780655828051805,0.7982214428857716,0.796625,0.07984413991940897,0.001596442885771543,0.08144058280518052,2.7755575615628914e-17
refl4,owlv2,resolution,1000,998,0.998,15968,0.8846442885771543,0.8301713153051111,0.7344063126252505,0.7329375,0.09576500267986066,0.0014688126252504485,0.0972338153051111,6.938893903907228e-17
refl4,owlv2,jpeg,1000,998,0.998,15968,0.9166457915831663,0.8522921363667418,0.78125,0.7796875,0.07104213636674184,0.0015625000000000222,0.07260463636674186,2.7755575615628914e-17
refl4,yoloworld,blur,1000,781,0.781,12496,0.5980313700384123,0.8184129532985415,0.4894366197183099,0.38225,0.3289763335802316,0.1071866197183099,0.4361629532985415,1.1102230246251565e-16
refl4,yoloworld,brightness,1000,781,0.781,12496,0.9460627400768246,0.9578751480290983,0.9062099871959027,0.70775,0.05166516083319561,0.19845998719590274,0.25012514802909835,1.1102230246251565e-16
refl4,yoloworld,gaussian_noise,1000,781,0.781,12496,0.8680377720870679,0.8887249930856458,0.7714468629961587,0.6025,0.11727813008948706,0.1689468629961587,0.28622499308564575,0.0
refl4,yoloworld,resolution,1000,781,0.781,12496,0.6954225352112676,0.83590333716916,0.5813060179257362,0.454,0.25459731924342377,0.1273060179257362,0.38190333716916,5.551115123125783e-17
refl4,yoloworld,jpeg,1000,781,0.781,12496,0.785371318822023,0.8724271448950479,0.685179257362356,0.535125,0.18724788753269195,0.150054257362356,0.33730214489504795,5.551115123125783e-17
