dataset,model,diagnostic_budget,scope,predictor,predictor_availability,evaluated_samples,bias,mae,rmse,reference_probe_brier,spearman,tie_aware_aurc
refcocoplus,groundingdino,5,full_manifest,coverage_aware_operational,1.0,1000,0.0030375000000000085,0.0681125,0.11032551268858894,0.10235250000000001,0.8119101264819305,0.055578265653846645
refcocoplus,groundingdino,5,paired_complete_cases,complete_case_persistence,1.0,1000,0.06073750000000001,0.0918375,0.1554202970979016,0.11433625,0.6151810030747418,0.0897789550684999
refcocoplus,groundingdino,5,paired_complete_cases,coverage_aware_operational,1.0,1000,0.0030375000000000085,0.0681125,0.11032551268858894,0.10235250000000001,0.8119101264819305,0.055578265653846645
refcocoplus,groundingdino,10,full_manifest,coverage_aware_operational,1.0,1000,0.002837500000000004,0.0495375,0.08060222546555398,0.09667750000000001,0.8954855973750271,0.04272940026851226
refcocoplus,groundingdino,10,paired_complete_cases,complete_case_persistence,1.0,1000,0.05903472222222223,0.07947361111111109,0.14049211793729544,0.10991881645250695,0.6643823757588494,0.08228953509498328
refcocoplus,groundingdino,10,paired_complete_cases,coverage_aware_operational,1.0,1000,0.002837500000000004,0.0495375,0.08060222546555398,0.09667750000000001,0.8954855973750271,0.04272940026851226
refcocoplus,groundingdino,20,full_manifest,coverage_aware_operational,1.0,1000,0.001637499999999997,0.0361375,0.05802343276642636,0.09354750000000002,0.938818556430675,0.03671375841559278
refcocoplus,groundingdino,20,paired_complete_cases,complete_case_persistence,1.0,1000,0.058511344915834075,0.07367946100167462,0.13560178340081783,0.10856862491148232,0.6749975895005318,0.08025659643267417
refcocoplus,groundingdino,20,paired_complete_cases,coverage_aware_operational,1.0,1000,0.001637499999999997,0.0361375,0.05802343276642636,0.09354750000000002,0.938818556430675,0.03671375841559278
refcocoplus,groundingdino,40,full_manifest,coverage_aware_operational,1.0,1000,0.0008874999999999974,0.0275625,0.04358719708813587,0.092080625,0.958689469977793,0.03433216531085534
refcocoplus,groundingdino,40,paired_complete_cases,complete_case_persistence,1.0,1000,0.05848531216024545,0.06890929996001974,0.13120646532531594,0.10739591779316333,0.690440578838026,0.07799230441757027
refcocoplus,groundingdino,40,paired_complete_cases,coverage_aware_operational,1.0,1000,0.0008874999999999974,0.0275625,0.04358719708813587,0.092080625,0.958689469977793,0.03433216531085534
refcocoplus,yoloworld,5,full_manifest,coverage_aware_operational,1.0,1000,-0.0005749999999999926,0.0775,0.12245534900525987,0.13417500000000002,0.9446233970818572,0.21921978621881316
refcocoplus,yoloworld,5,paired_complete_cases,complete_case_persistence,0.749,749,0.21015242545616375,0.24676791277258564,0.33963738031000384,0.2726305444296099,0.3270109010874761,0.29252988240251454
refcocoplus,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.749,749,0.0019192256341789159,0.10078437917222964,0.13847361333042857,0.17645193591455277,0.8761179568377438,0.15343027792257855
refcocoplus,yoloworld,10,full_manifest,coverage_aware_operational,1.0,1000,-0.0001749999999999976,0.054924999999999995,0.08730871949582127,0.1268025,0.9693997567131839,0.2092311820999861
refcocoplus,yoloworld,10,paired_complete_cases,complete_case_persistence,0.755,755,0.21636655103542518,0.23392515505098285,0.3302183809263404,0.2666087486380375,0.3477640021582684,0.29018663726693966
refcocoplus,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.755,755,9.933774834437375e-05,0.07241721854304635,0.10027280669049514,0.16761920529801325,0.9302024217128553,0.1418362516717043
refcocoplus,yoloworld,20,full_manifest,coverage_aware_operational,1.0,1000,0.00047500000000000076,0.04035,0.06375980316782667,0.12324500000000001,0.9826666887727531,0.20387238167006455
refcocoplus,yoloworld,20,paired_complete_cases,complete_case_persistence,0.756,756,0.21768854435247748,0.22851650351634994,0.32602210311993896,0.26377863096877985,0.362701190176923,0.2865113480867454
refcocoplus,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.756,756,0.0008101851851851855,0.05319113756613755,0.07316002473739822,0.1628406084656085,0.9607889761370271,0.13499369545925236
refcocoplus,yoloworld,40,full_manifest,coverage_aware_operational,1.0,1000,0.0009750000000000005,0.031,0.04831213615645659,0.12151375000000002,0.989652229982236,0.20160137388065918
