dataset,model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,total_optimism,identity_residual
refcoco,yoloworld,3,0.1,0.85,0.728,0.8813530219780219,0.8740697447886225,0.7703640109890109,0.5608249999999999,0.31324474478862263,5.551115123125783e-17
refcoco,yoloworld,3,0.15,0.5,0.728,0.8842032967032968,0.8711744601522449,0.7702953296703298,0.5607750000000001,0.31039946015224473,5.551115123125783e-17
refcoco,yoloworld,3,0.15,0.7,0.728,0.8793956043956044,0.8741408934707904,0.7687156593406593,0.559625,0.31451589347079034,5.551115123125783e-17
refcoco,yoloworld,3,0.15,0.85,0.728,0.8793956043956044,0.8741408934707904,0.7687156593406593,0.559625,0.31451589347079034,5.551115123125783e-17
refcoco,yoloworld,3,0.25,0.5,0.728,0.8812156593406594,0.8720236935427302,0.7684409340659341,0.559425,0.3125986935427303,5.551115123125783e-17
refcoco,yoloworld,3,0.25,0.7,0.728,0.8764766483516484,0.8750146926301767,0.7669299450549452,0.5583250000000001,0.31668969263017666,0.0
refcoco,yoloworld,3,0.25,0.85,0.728,0.8764766483516484,0.8750146926301767,0.7669299450549452,0.5583250000000001,0.31668969263017666,0.0
refcoco,yoloworld,5,0.1,0.5,0.728,0.8123969780219781,0.8682842287694975,0.7053914835164836,0.513525,0.3547592287694975,5.551115123125783e-17
refcoco,yoloworld,5,0.1,0.7,0.728,0.8099244505494505,0.8705533177867288,0.7050824175824175,0.5133,0.35725331778672886,0.0
refcoco,yoloworld,5,0.1,0.85,0.728,0.8099244505494505,0.8705533177867288,0.7050824175824175,0.5133,0.35725331778672886,0.0
refcoco,yoloworld,5,0.15,0.5,0.728,0.8095810439560439,0.8687168610816542,0.7032967032967032,0.512,0.35671686108165424,5.551115123125783e-17
refcoco,yoloworld,5,0.15,0.7,0.728,0.8071085164835166,0.8709951921031358,0.7029876373626374,0.511775,0.3592201921031358,1.1102230246251565e-16
refcoco,yoloworld,5,0.15,0.85,0.728,0.8071085164835166,0.8709951921031358,0.7029876373626374,0.511775,0.3592201921031358,1.1102230246251565e-16
refcoco,yoloworld,5,0.25,0.5,0.728,0.8051510989010988,0.8687622622195683,0.69948489010989,0.509225,0.3595372622195683,1.1102230246251565e-16
refcoco,yoloworld,5,0.25,0.7,0.728,0.8027129120879121,0.8710160427807486,0.6991758241758241,0.509,0.3620160427807486,5.551115123125783e-17
refcoco,yoloworld,5,0.25,0.85,0.728,0.8027129120879121,0.8710160427807486,0.6991758241758241,0.509,0.3620160427807486,5.551115123125783e-17
refcocoplus,groundingdino,2,0.1,0.5,1.0,0.9682375,0.9308021017570586,0.9012375,0.9012375,0.02956460175705855,4.85722573273506e-17
refcocoplus,groundingdino,2,0.1,0.7,1.0,0.9596875,0.9348876587430804,0.8972,0.8972,0.03768765874308044,3.469446951953614e-17
refcocoplus,groundingdino,2,0.1,0.85,1.0,0.9596875,0.9348876587430804,0.8972,0.8972,0.03768765874308044,3.469446951953614e-17
refcocoplus,groundingdino,2,0.15,0.5,1.0,0.968025,0.9307869114950543,0.901025,0.901025,0.02976191149505436,2.0816681711721685e-17
refcocoplus,groundingdino,2,0.15,0.7,1.0,0.9594750000000001,0.9348732379686808,0.8969875,0.8969875,0.03788573796868078,6.245004513516506e-17
refcocoplus,groundingdino,2,0.15,0.85,1.0,0.9594750000000001,0.9348732379686808,0.8969875,0.8969875,0.03788573796868078,6.245004513516506e-17
refcocoplus,groundingdino,2,0.25,0.5,1.0,0.967275,0.9307332454576,0.9002749999999999,0.9002749999999999,0.03045824545760001,4.5102810375396984e-17
refcocoplus,groundingdino,2,0.25,0.7,1.0,0.9587249999999999,0.9348222900206002,0.8962374999999999,0.8962374999999999,0.038584790020600335,0.0
refcocoplus,groundingdino,2,0.25,0.85,1.0,0.9587249999999999,0.9348222900206002,0.8962374999999999,0.8962374999999999,0.038584790020600335,0.0
refcocoplus,groundingdino,3,0.1,0.5,1.0,0.976875,0.9148176583493282,0.8936624999999999,0.8936624999999999,0.02115515834932824,7.28583859910259e-17
refcocoplus,groundingdino,3,0.1,0.7,1.0,0.969675,0.918722767937711,0.8908625,0.8908625,0.027860267937711014,1.1449174941446927e-16
refcocoplus,groundingdino,3,0.1,0.85,1.0,0.969675,0.918722767937711,0.8908625,0.8908625,0.027860267937711014,1.1449174941446927e-16
refcocoplus,groundingdino,3,0.15,0.5,1.0,0.97515,0.9146797928523817,0.89195,0.89195,0.022729792852381636,8.326672684688674e-17
refcocoplus,groundingdino,3,0.15,0.7,1.0,0.96795,0.918590836303528,0.88915,0.88915,0.029440836303528006,8.673617379884035e-17
refcocoplus,groundingdino,3,0.15,0.85,1.0,0.96795,0.918590836303528,0.88915,0.88915,0.029440836303528006,8.673617379884035e-17
refcocoplus,groundingdino,3,0.25,0.5,1.0,0.972125,0.9146714671467147,0.8891749999999999,0.8891749999999999,0.02549646714671472,6.245004513516506e-17
refcocoplus,groundingdino,3,0.25,0.7,1.0,0.964925,0.9185947094333757,0.886375,0.886375,0.03221970943337571,8.326672684688674e-17
refcocoplus,groundingdino,3,0.25,0.85,1.0,0.964925,0.9185947094333757,0.886375,0.886375,0.03221970943337571,8.326672684688674e-17
refcocoplus,groundingdino,5,0.1,0.5,1.0,0.9471375,0.9046732918926766,0.85685,0.85685,0.047823291892676645,6.938893903907228e-18
refcocoplus,groundingdino,5,0.1,0.7,1.0,0.9424750000000001,0.9080612217830712,0.8558250000000001,0.8558250000000001,0.05223622178307119,7.632783294297951e-17
refcocoplus,groundingdino,5,0.1,0.85,1.0,0.9424750000000001,0.9080612217830712,0.8558250000000001,0.8558250000000001,0.05223622178307119,7.632783294297951e-17
refcocoplus,groundingdino,5,0.15,0.5,1.0,0.9419875,0.904669647951804,0.8521875,0.8521875,0.05248214795180406,6.938893903907228e-18
refcocoplus,groundingdino,5,0.15,0.7,1.0,0.9374125,0.9079914125318364,0.8511625,0.8511625,0.056828912531836306,2.0816681711721685e-17
refcocoplus,groundingdino,5,0.15,0.85,1.0,0.9374125,0.9079914125318364,0.8511625,0.8511625,0.056828912531836306,2.0816681711721685e-17
refcocoplus,groundingdino,5,0.25,0.5,1.0,0.9315875,0.9053765749325747,0.8434375,0.8434375,0.06193907493257478,2.0816681711721685e-17
