model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
groundingdino,5,0.15,0.5,1000,1000,1.0,80000,0.8521875,0.8521875,0.00042283298097251583,0.3490909090909091,0.04295983086680761,0.6075264270613108
groundingdino,5,0.15,0.7,1000,1000,1.0,80000,0.8511625,0.8511625,0.00041992105484168975,0.3466868228772991,0.07340220038632737,0.5794910556815319
groundingdino,5,0.15,0.85,1000,1000,1.0,80000,0.8511625,0.8511625,0.00041992105484168975,0.3466868228772991,0.07340220038632737,0.5794910556815319
groundingdino,5,0.25,0.5,1000,1000,1.0,80000,0.8434375,0.8434375,0.0012774451097804392,0.39672654690618764,0.03896207584830339,0.5630339321357285
groundingdino,5,0.25,0.7,1000,1000,1.0,80000,0.84245,0.84245,0.0012694382735639479,0.3942399238337036,0.0658521104411298,0.5386385274516027
groundingdino,5,0.25,0.85,1000,1000,1.0,80000,0.84245,0.84245,0.0012694382735639479,0.3942399238337036,0.0658521104411298,0.5386385274516027
yoloworld,2,0.1,0.5,1000,757,0.757,60560,0.5980875,0.7900759577278732,0.12538346574372689,0.22535986785180523,0.20262723196727758,0.4466294344371903
yoloworld,2,0.1,0.7,1000,757,0.757,60560,0.595775,0.7870211360634083,0.12358505194603815,0.2221274616219569,0.23391223445495427,0.4203752519770507
yoloworld,2,0.1,0.85,1000,757,0.757,60560,0.595775,0.7870211360634083,0.12358505194603815,0.2221274616219569,0.23391223445495427,0.4203752519770507
yoloworld,2,0.15,0.5,1000,757,0.757,60560,0.5970500000000001,0.7887054161162483,0.12511722413254142,0.2302281963113473,0.20123476086276962,0.4434198186933417
yoloworld,2,0.15,0.7,1000,757,0.757,60560,0.5947374999999999,0.7856505944517834,0.12333410369000847,0.22694707649641785,0.23233957322240198,0.4173792465911717
yoloworld,2,0.15,0.85,1000,757,0.757,60560,0.5947374999999999,0.7856505944517834,0.12333410369000847,0.22694707649641785,0.23233957322240198,0.4173792465911717
yoloworld,2,0.25,0.5,1000,757,0.757,60560,0.5953125,0.7864101717305152,0.12616930807885582,0.23857750289911095,0.1983764978739853,0.43687669114804795
yoloworld,2,0.25,0.7,1000,757,0.757,60560,0.593,0.7833553500660502,0.12439024390243902,0.23521341463414633,0.2291920731707317,0.4112042682926829
yoloworld,2,0.25,0.85,1000,757,0.757,60560,0.593,0.7833553500660502,0.12439024390243902,0.23521341463414633,0.2291920731707317,0.4112042682926829
yoloworld,3,0.1,0.5,1000,757,0.757,60560,0.5562625,0.734824966974901,0.1047387757643689,0.4204495921290242,0.07403947941964008,0.4007721526869668
yoloworld,3,0.1,0.7,1000,757,0.757,60560,0.5549124999999999,0.7330416116248349,0.104039091977485,0.4176408733840539,0.09785365250201027,0.3804663821364508
yoloworld,3,0.1,0.85,1000,757,0.757,60560,0.5549124999999999,0.7330416116248349,0.104039091977485,0.4176408733840539,0.09785365250201027,0.3804663821364508
yoloworld,3,0.15,0.5,1000,757,0.757,60560,0.5542874999999999,0.7322159841479525,0.1040883023987174,0.42868594684590244,0.07251649503607326,0.3947092557193069
yoloworld,3,0.15,0.7,1000,757,0.757,60560,0.55295,0.7304491413474241,0.10340602793432982,0.42587601078167114,0.09605488850771869,0.3746630727762803
yoloworld,3,0.15,0.85,1000,757,0.757,60560,0.55295,0.7304491413474241,0.10340602793432982,0.42587601078167114,0.09605488850771869,0.3746630727762803
yoloworld,3,0.25,0.5,1000,757,0.757,60560,0.5514874999999999,0.7285171730515191,0.10498144881698193,0.4365306246578675,0.07067696612128216,0.38781096040386837
yoloworld,3,0.25,0.7,1000,757,0.757,60560,0.55015,0.7267503302509907,0.10430263475948755,0.4337080009668842,0.09390862944162437,0.3680807348320039
yoloworld,3,0.25,0.85,1000,757,0.757,60560,0.55015,0.7267503302509907,0.10430263475948755,0.4337080009668842,0.09390862944162437,0.3680807348320039
yoloworld,5,0.1,0.5,1000,757,0.757,60560,0.50435,0.6662483487450462,0.08485058381159707,0.5890065307737977,0.021373441519889173,0.304769443894716
yoloworld,5,0.1,0.7,1000,757,0.757,60560,0.5037875,0.6655052840158521,0.08466209211630547,0.5876980796761613,0.03386483684652219,0.293774991361011
yoloworld,5,0.1,0.85,1000,757,0.757,60560,0.5037875,0.6655052840158521,0.08466209211630547,0.5876980796761613,0.03386483684652219,0.293774991361011
yoloworld,5,0.15,0.5,1000,757,0.757,60560,0.5023375,0.6635898282694848,0.0844745496490453,0.5944141756246012,0.02081185883276886,0.30029941589358466
yoloworld,5,0.15,0.7,1000,757,0.757,60560,0.501775,0.6628467635402906,0.08428837300421196,0.5931041238123225,0.033157018317171126,0.28945048486629443
yoloworld,5,0.15,0.85,1000,757,0.757,60560,0.501775,0.6628467635402906,0.08428837300421196,0.5931041238123225,0.033157018317171126,0.28945048486629443
yoloworld,5,0.25,0.5,1000,757,0.757,60560,0.49987500000000007,0.660336856010568,0.08551288283908605,0.6004375303840545,0.019834710743801654,0.29421487603305785
yoloworld,5,0.25,0.7,1000,757,0.757,60560,0.4993125,0.6595937912813739,0.0853262187727383,0.5991268493815183,0.03206403104535532,0.28348290080038807
yoloworld,5,0.25,0.85,1000,757,0.757,60560,0.4993125,0.6595937912813739,0.0853262187727383,0.5991268493815183,0.03206403104535532,0.28348290080038807
