model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
yoloworld,2,0.1,0.7,1000,781,0.781,62480,0.6316750000000001,0.8088028169014084,0.07994307718064624,0.18232044198895028,0.31776326803951116,0.41997321279089234
yoloworld,2,0.1,0.85,1000,781,0.781,62480,0.6316750000000001,0.8088028169014084,0.07994307718064624,0.18232044198895028,0.31776326803951116,0.41997321279089234
yoloworld,2,0.15,0.5,1000,781,0.781,62480,0.634975,0.8130281690140846,0.0844889573703133,0.19765451121383326,0.26391028933401817,0.4539462420818353
yoloworld,2,0.15,0.7,1000,781,0.781,62480,0.6301749999999999,0.8068822023047375,0.08180009945300845,0.19136416376595392,0.3134427316426322,0.41339300513840543
yoloworld,2,0.15,0.85,1000,781,0.781,62480,0.6301749999999999,0.8068822023047375,0.08180009945300845,0.19136416376595392,0.3134427316426322,0.41339300513840543
yoloworld,2,0.25,0.5,1000,781,0.781,62480,0.6337624999999999,0.8114756722151089,0.08498174717717973,0.20545037779098396,0.26020884625180407,0.44935902878003225
yoloworld,2,0.25,0.7,1000,781,0.781,62480,0.6289750000000001,0.8053457106274008,0.08230554185166913,0.19898043085018913,0.30940634764019076,0.409307679657951
yoloworld,2,0.25,0.85,1000,781,0.781,62480,0.6289750000000001,0.8053457106274008,0.08230554185166913,0.19898043085018913,0.30940634764019076,0.409307679657951
yoloworld,3,0.1,0.5,1000,781,0.781,62480,0.6025,0.7714468629961587,0.07219887955182072,0.363375350140056,0.11260504201680673,0.45182072829131653
yoloworld,3,0.1,0.7,1000,781,0.781,62480,0.5997625000000001,0.7679417413572344,0.07110835230015863,0.3578867508104007,0.15138975101731153,0.4196151458721291
yoloworld,3,0.1,0.85,1000,781,0.781,62480,0.5997625000000001,0.7679417413572344,0.07110835230015863,0.3578867508104007,0.15138975101731153,0.4196151458721291
yoloworld,3,0.15,0.5,1000,781,0.781,62480,0.6007875,0.7692541613316262,0.07296941111188181,0.370673510439065,0.11063328015537213,0.4457237982936811
yoloworld,3,0.15,0.7,1000,781,0.781,62480,0.59805,0.7657490396927016,0.07187756217545778,0.36512708390270565,0.14908444930308828,0.4139109046187483
yoloworld,3,0.15,0.85,1000,781,0.781,62480,0.59805,0.7657490396927016,0.07187756217545778,0.36512708390270565,0.14908444930308828,0.4139109046187483
yoloworld,3,0.25,0.5,1000,781,0.781,62480,0.5986125,0.7664692701664532,0.07340141182920978,0.3827702008087177,0.10622986772668083,0.4375985196353917
yoloworld,3,0.25,0.7,1000,781,0.781,62480,0.595875,0.7629641485275289,0.07231600270087779,0.3771100607697502,0.14415935178933154,0.4064145847400405
yoloworld,3,0.25,0.85,1000,781,0.781,62480,0.595875,0.7629641485275289,0.07231600270087779,0.3771100607697502,0.14415935178933154,0.4064145847400405
yoloworld,5,0.1,0.5,1000,781,0.781,62480,0.5398875000000001,0.6912772087067862,0.05749390844522785,0.58789983928664,0.037741718077660844,0.3168645341904712
yoloworld,5,0.1,0.7,1000,781,0.781,62480,0.5383375000000001,0.6892925736235597,0.05712666769690414,0.5841446453407511,0.06037191572657498,0.29835677123576987
yoloworld,5,0.1,0.85,1000,781,0.781,62480,0.5383375000000001,0.6892925736235597,0.05712666769690414,0.5841446453407511,0.06037191572657498,0.29835677123576987
yoloworld,5,0.15,0.5,1000,781,0.781,62480,0.537875,0.6887003841229193,0.0577892030848329,0.594241645244216,0.03660668380462725,0.31136246786632393
yoloworld,5,0.15,0.7,1000,781,0.781,62480,0.536325,0.6867157490396928,0.057423112291815674,0.5904771635843465,0.058853581281291506,0.29324614284254624
yoloworld,5,0.15,0.85,1000,781,0.781,62480,0.536325,0.6867157490396928,0.057423112291815674,0.5904771635843465,0.058853581281291506,0.29324614284254624
yoloworld,5,0.25,0.5,1000,781,0.781,62480,0.5319749999999999,0.681145966709347,0.057474149181809056,0.6125890974801727,0.03363116152996687,0.2963055918080514
yoloworld,5,0.25,0.7,1000,781,0.781,62480,0.5305,0.6792573623559539,0.05713572854291417,0.6089820359281437,0.05469061876247505,0.2791916167664671
yoloworld,5,0.25,0.85,1000,781,0.781,62480,0.5305,0.6792573623559539,0.05713572854291417,0.6089820359281437,0.05469061876247505,0.2791916167664671
