dataset,model,family,severity_bin,strength_low,strength_high,strength_mid,full_manifest_stability,lower,upper,eligible_probe_trials
RefCOCO+,owlv2,gaussian_noise,5,0.8,1.0,0.9,0.6223303225806451,0.5940231695568401,0.6507121865035582,3100
RefCOCO+,yoloworld,blur,1,0.0,0.2,0.1,0.5586864510847319,0.5282094595872546,0.587343794467944,2443
RefCOCO+,yoloworld,blur,2,0.2,0.4,0.3,0.36922226838388034,0.33830975458996704,0.4006640292523959,2407
RefCOCO+,yoloworld,blur,3,0.4,0.6,0.5,0.2889505197505198,0.2592989849167701,0.3176439283480052,2405
RefCOCO+,yoloworld,blur,4,0.6,0.8,0.7,0.273842663273961,0.24591919379453983,0.30214241802775393,2358
RefCOCO+,yoloworld,blur,5,0.8,1.0,0.9,0.2574829931972789,0.22808108349948228,0.28784902793411593,2499
RefCOCO+,yoloworld,brightness,1,0.0,0.2,0.1,0.7306961616161616,0.7025845407528863,0.7594348074055153,2475
RefCOCO+,yoloworld,brightness,2,0.2,0.4,0.3,0.697859375,0.6687175984544168,0.7254692531157506,2432
RefCOCO+,yoloworld,brightness,3,0.4,0.6,0.5,0.6944806300553427,0.6669184466014794,0.7212927459373879,2349
RefCOCO+,yoloworld,brightness,4,0.6,0.8,0.7,0.6670892785970507,0.6382379731708693,0.6957239452526175,2509
RefCOCO+,yoloworld,brightness,5,0.8,1.0,0.9,0.6489492969748616,0.6202420099821924,0.6768741353202327,2347
RefCOCO+,yoloworld,jpeg,1,0.0,0.2,0.1,0.6320399168399169,0.6032645601276897,0.6603763767293046,2405
RefCOCO+,yoloworld,jpeg,2,0.2,0.4,0.3,0.5202290748898678,0.4913704706085692,0.5510627011682118,2497
RefCOCO+,yoloworld,jpeg,3,0.4,0.6,0.5,0.45971134903640254,0.4287657128662737,0.49076458469514256,2335
RefCOCO+,yoloworld,jpeg,4,0.6,0.8,0.7,0.4036916081025217,0.3720942383952007,0.4348499417039097,2419
RefCOCO+,yoloworld,jpeg,5,0.8,1.0,0.9,0.3646298859934854,0.3342366959950357,0.39521666510412123,2456
RefCOCO+,yoloworld,resolution,1,0.0,0.2,0.1,0.45383326604763824,0.4218979282079147,0.4849246069661507,2477
RefCOCO+,yoloworld,resolution,2,0.2,0.4,0.3,0.4211763017630176,0.3894594142640271,0.45241028442639475,2439
RefCOCO+,yoloworld,resolution,3,0.4,0.6,0.5,0.3858837998303647,0.3546640294987755,0.4150927723532422,2358
RefCOCO+,yoloworld,resolution,4,0.6,0.8,0.7,0.36679698942229455,0.33555121966418205,0.3985127310557668,2458
RefCOCO+,yoloworld,resolution,5,0.8,1.0,0.9,0.3625966386554622,0.33146594862750745,0.3935857128606403,2380
RefCOCO+,yoloworld,gaussian_noise,1,0.0,0.2,0.1,0.7215058091286307,0.6942751557851007,0.747758831114469,2410
RefCOCO+,yoloworld,gaussian_noise,2,0.2,0.4,0.3,0.639518533604888,0.6123849079971692,0.6674433706486249,2455
