dataset,model,setting_index,setting_id,tracked_candidate_count,exposed_candidate_count,duplicate_iou_threshold,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,coverage,conditional_ranking,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
RefCOCO,groundingdino,26,kt2_ke20_match0.25_birth0.85_dup0.70,2,20,0.7,0.25,0.85,500,499,0.998,39920,0.9651553106212425,0.9309610942407018,0.8967249989509583,0.8985220196251879,0.0012342631449024932,0.02715378918785485,0.31498395457911627,0.6566279930881264
RefCOCO,groundingdino,27,kt3_ke10_match0.10_birth0.50_dup0.70,3,10,0.7,0.1,0.5,500,499,0.998,39920,0.979183366733467,0.9123538591419581,0.891575038433075,0.8933617356783881,0.0011745360582569885,0.08621094667606295,0.10782241014799154,0.8047921071176886
RefCOCO,groundingdino,28,kt3_ke10_match0.10_birth0.70_dup0.70,3,10,0.7,0.1,0.7,500,499,0.998,39920,0.9744989979959919,0.9151200452418898,0.8899999856948853,0.8917835671342685,0.0011574074074074073,0.0849537037037037,0.14953703703703702,0.7643518518518518
RefCOCO,groundingdino,29,kt3_ke10_match0.10_birth0.85_dup0.70,3,10,0.7,0.1,0.85,500,499,0.998,39920,0.9744989979959919,0.9151200452418898,0.8899999856948853,0.8917835671342685,0.0011574074074074073,0.0849537037037037,0.14953703703703702,0.7643518518518518
RefCOCO,groundingdino,30,kt3_ke10_match0.15_birth0.50_dup0.70,3,10,0.7,0.15,0.5,500,499,0.998,39920,0.9776803607214429,0.9122703630633632,0.8901249766349792,0.8919088176352705,0.0011587485515643105,0.10081112398609501,0.10451911935110081,0.7935110081112399
RefCOCO,groundingdino,31,kt3_ke10_match0.15_birth0.70_dup0.70,3,10,0.7,0.15,0.7,500,499,0.998,39920,0.9729959919839679,0.9150404201637403,0.8885500431060791,0.8903307102486222,0.0011420740063956144,0.09936043855641846,0.1457286432160804,0.7537688442211056
RefCOCO,groundingdino,32,kt3_ke10_match0.15_birth0.85_dup0.70,3,10,0.7,0.15,0.85,500,499,0.998,39920,0.9729959919839679,0.9150404201637403,0.8885500431060791,0.8903307102486222,0.0011420740063956144,0.09936043855641846,0.1457286432160804,0.7537688442211056
RefCOCO,groundingdino,33,kt3_ke10_match0.25_birth0.50_dup0.70,3,10,0.7,0.25,0.5,500,499,0.998,39920,0.9763276553106213,0.9124053880692752,0.8890250325202942,0.8908066376894413,0.0022941041523285156,0.11195228263363156,0.10254645560908465,0.7832071576049553
RefCOCO,groundingdino,34,kt3_ke10_match0.25_birth0.70_dup0.70,3,10,0.7,0.25,0.7,500,499,0.998,39920,0.9718436873747495,0.9150170120630993,0.8874750137329102,0.8892535437085107,0.002261931689662972,0.11038226645555305,0.14159692377290206,0.7457588780818819
RefCOCO,groundingdino,35,kt3_ke10_match0.25_birth0.85_dup0.70,3,10,0.7,0.25,0.85,500,499,0.998,39920,0.9718436873747495,0.9150170120630993,0.8874750137329102,0.8892535437085107,0.002261931689662972,0.11038226645555305,0.14159692377290206,0.7457588780818819
RefCOCO,groundingdino,36,kt3_ke15_match0.10_birth0.50_dup0.70,3,15,0.7,0.1,0.5,500,499,0.998,39920,0.9804108216432865,0.9129235014563851,0.8932499885559082,0.8950400801603207,0.00047732696897374703,0.07470167064439141,0.11145584725536993,0.813365155131265
RefCOCO,groundingdino,37,kt3_ke15_match0.10_birth0.70_dup0.70,3,15,0.7,0.1,0.7,500,499,0.998,39920,0.9759018036072145,0.9154730735664048,0.8916249871253967,0.8934118236472945,0.0004700352526439483,0.0735605170387779,0.15205640423031727,0.7739130434782608
RefCOCO,groundingdino,38,kt3_ke15_match0.10_birth0.85_dup0.70,3,15,0.7,0.1,0.85,500,499,0.998,39920,0.9759018036072145,0.9154730735664048,0.8916249871253967,0.8934118236472945,0.0004700352526439483,0.0735605170387779,0.15205640423031727,0.7739130434782608
RefCOCO,groundingdino,39,kt3_ke15_match0.15_birth0.50_dup0.70,3,15,0.7,0.15,0.5,500,499,0.998,39920,0.9792835671342686,0.9128488476197785,0.8921500444412231,0.8939379002144915,0.0007085498346717053,0.08597071327350024,0.1086443079829948,0.8046764289088333
RefCOCO,groundingdino,40,kt3_ke15_match0.15_birth0.70_dup0.70,3,15,0.7,0.15,0.7,500,499,0.998,39920,0.9747745490981964,0.9154010227944389,0.8905250430107117,0.8923096437014655,0.0006978367062107466,0.08467085368690393,0.14887183065829263,0.7657594789485926
RefCOCO,groundingdino,41,kt3_ke15_match0.15_birth0.85_dup0.70,3,15,0.7,0.15,0.85,500,499,0.998,39920,0.9747745490981964,0.9154010227944389,0.8905250430107117,0.8923096437014655,0.0006978367062107466,0.08467085368690393,0.14887183065829263,0.7657594789485926
